 0.00000000e+00 -1.80000000e+00  0.00000000e+00  1.52688316e+04 
 5.00000000e-15 -1.79999941e+00  5.00000000e-15  1.52725001e+04 
 1.00000000e-14 -1.79999882e+00  1.00000000e-14  1.52738560e+04 
 2.00000000e-14 -1.79999764e+00  2.00000000e-14  1.52748542e+04 
 4.00000000e-14 -1.79999529e+00  4.00000000e-14  1.52745147e+04 
 8.00000000e-14 -1.79999057e+00  8.00000000e-14  1.52746775e+04 
 1.60000000e-13 -1.79998115e+00  1.60000000e-13  1.52744501e+04 
 3.20000000e-13 -1.79996229e+00  3.20000000e-13  1.52744501e+04 
 6.40000000e-13 -1.79992458e+00  6.40000000e-13  1.52740364e+04 
 1.14000000e-12 -1.79986566e+00  1.14000000e-12  1.52737263e+04 
 1.64000000e-12 -1.79980674e+00  1.64000000e-12  1.52731616e+04 
 2.14000000e-12 -1.79974782e+00  2.14000000e-12  1.52728456e+04 
 2.64000000e-12 -1.79968890e+00  2.64000000e-12  1.52722866e+04 
 3.14000000e-12 -1.79962998e+00  3.14000000e-12  1.52719649e+04 
 3.64000000e-12 -1.79957106e+00  3.64000000e-12  1.52714115e+04 
 4.14000000e-12 -1.79951214e+00  4.14000000e-12  1.52710845e+04 
 4.64000000e-12 -1.79945322e+00  4.64000000e-12  1.52705364e+04 
 5.14000000e-12 -1.79939430e+00  5.14000000e-12  1.52702041e+04 
 5.64000000e-12 -1.79933538e+00  5.64000000e-12  1.52696611e+04 
 6.14000000e-12 -1.79927647e+00  6.14000000e-12  1.52693239e+04 
 6.64000000e-12 -1.79921755e+00  6.64000000e-12  1.52687857e+04 
 7.14000000e-12 -1.79915863e+00  7.14000000e-12  1.52684438e+04 
 7.64000000e-12 -1.79909971e+00  7.64000000e-12  1.52679101e+04 
 8.14000000e-12 -1.79904080e+00  8.14000000e-12  1.52675638e+04 
 8.64000000e-12 -1.79898188e+00  8.64000000e-12  1.52670345e+04 
 9.14000000e-12 -1.79892296e+00  9.14000000e-12  1.52666840e+04 
 9.64000000e-12 -1.79886404e+00  9.64000000e-12  1.52661588e+04 
 1.01400000e-11 -1.79880513e+00  1.01400000e-11  1.52658042e+04 
 1.06400000e-11 -1.79874621e+00  1.06400000e-11  1.52652831e+04 
 1.11400000e-11 -1.79868730e+00  1.11400000e-11  1.52649246e+04 
 1.16400000e-11 -1.79862838e+00  1.16400000e-11  1.52644072e+04 
 1.21400000e-11 -1.79856946e+00  1.21400000e-11  1.52640450e+04 
 1.26400000e-11 -1.79851055e+00  1.26400000e-11  1.52635313e+04 
 1.31400000e-11 -1.79845163e+00  1.31400000e-11  1.52631655e+04 
 1.36400000e-11 -1.79839272e+00  1.36400000e-11  1.52626553e+04 
 1.41400000e-11 -1.79833381e+00  1.41400000e-11  1.52622862e+04 
 1.46400000e-11 -1.79827489e+00  1.46400000e-11  1.52617792e+04 
 1.51400000e-11 -1.79821598e+00  1.51400000e-11  1.52614069e+04 
 1.56400000e-11 -1.79815706e+00  1.56400000e-11  1.52609030e+04 
 1.61400000e-11 -1.79809815e+00  1.61400000e-11  1.52605277e+04 
