 0.00000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-07  3.14159245e-04  1.00000000e-07  9.42473963e-04 
 2.00000000e-07  6.28318365e-04  2.00000000e-07  1.88494755e-03 
 4.00000000e-07  1.25663574e-03  4.00000000e-07  3.76989213e-03 
 8.00000000e-07  2.51326354e-03  8.00000000e-07  7.53976045e-03 
 1.60000000e-06  5.02646358e-03  1.60000000e-06  1.50793304e-02 
 3.20000000e-06  1.00524192e-02  3.20000000e-06  3.01571368e-02 
 6.40000000e-06  2.01007747e-02  6.40000000e-06  6.03020828e-02 
 1.28000000e-05  4.01690501e-02  1.28000000e-05  1.20506668e-01 
 2.28000000e-05  7.13835656e-02  2.28000000e-05  2.14149840e-01 
 3.28000000e-05  1.02316363e-01  3.28000000e-05  3.06947860e-01 
 4.28000000e-05  1.32845364e-01  4.28000000e-05  3.98534497e-01 
 5.28000000e-05  1.62850085e-01  5.28000000e-05  4.88548301e-01 
 6.28000000e-05  1.92212112e-01  6.28000000e-05  5.76634028e-01 
 7.28000000e-05  2.20815565e-01  7.28000000e-05  6.62444043e-01 
 8.28000000e-05  2.48547560e-01  8.28000000e-05  7.45639695e-01 
 9.28000000e-05  2.75298651e-01  9.28000000e-05  8.25892648e-01 
 1.02800000e-04  3.00963264e-01  1.02800000e-04  9.02886179e-01 
 1.12800000e-04  3.25440113e-01  1.12800000e-04  9.76316431e-01 
 1.22800000e-04  3.48632598e-01  1.22800000e-04  1.04589361e+00 
 1.32800000e-04  3.70449189e-01  1.32800000e-04  1.11134312e+00 
 1.42800000e-04  3.90803787e-01  1.42800000e-04  1.17240667e+00 
 1.52800000e-04  4.09616061e-01  1.52800000e-04  1.22884327e+00 
 1.62800000e-04  4.26811768e-01  1.62800000e-04  1.28043018e+00 
 1.72800000e-04  4.42323043e-01  1.72800000e-04  1.32696382e+00 
 1.82800000e-04  4.56088672e-01  1.82800000e-04  1.36826054e+00 
 1.92800000e-04  4.68054326e-01  1.92800000e-04  1.40415736e+00 
 2.02800000e-04  4.78172785e-01  2.02800000e-04  1.43451261e+00 
 2.12800000e-04  4.86404113e-01  2.12800000e-04  1.45920650e+00 
 2.22800000e-04  4.92715827e-01  2.22800000e-04  1.47814157e+00 
 2.32800000e-04  4.97083017e-01  2.32800000e-04  1.49124308e+00 
 2.42800000e-04  4.99488447e-01  2.42800000e-04  1.49845935e+00 
 2.52800000e-04  4.99922624e-01  2.52800000e-04  1.49976187e+00 
 2.62800000e-04  4.98383835e-01  2.62800000e-04  1.49514552e+00 
 2.72800000e-04  4.94878153e-01  2.72800000e-04  1.48462852e+00 
 2.82800000e-04  4.89419413e-01  2.82800000e-04  1.46825236e+00 
 2.92800000e-04  4.82029158e-01  2.92800000e-04  1.44608169e+00 
 3.02800000e-04  4.72736554e-01  3.02800000e-04  1.41820399e+00 
 3.12800000e-04  4.61578275e-01  3.12800000e-04  1.38472928e+00 
 3.22800000e-04  4.48598358e-01  3.22800000e-04  1.34578969e+00 
 3.32800000e-04  4.33848027e-01  3.32800000e-04  1.30153887e+00 
 3.42800000e-04  4.17385497e-01  3.42800000e-04  1.25215148e+00 
 3.52800000e-04  3.99275737e-01  3.52800000e-04  1.19782242e+00 
 3.62800000e-04  3.79590217e-01  3.62800000e-04  1.13876610e+00 
 3.72800000e-04  3.58406629e-01  3.72800000e-04  1.07521558e+00 
 3.82800000e-04  3.35808573e-01  3.82800000e-04  1.00742169e+00 
 3.92800000e-04  3.11885235e-01  3.92800000e-04  9.35651961e-01 
 4.02800000e-04  2.86731028e-01  4.02800000e-04  8.60189641e-01 
 4.12800000e-04  2.60445224e-01  4.12800000e-04  7.81332547e-01 
 4.22800000e-04  2.33131562e-01  4.22800000e-04  6.99391889e-01 
 4.32800000e-04  2.04897837e-01  4.32800000e-04  6.14691051e-01 
 4.42800000e-04  1.75855473e-01  4.42800000e-04  5.27564309e-01 
 4.52800000e-04  1.46119088e-01  4.52800000e-04  4.38355511e-01 
 4.62800000e-04  1.15806038e-01  4.62800000e-04  3.47416724e-01 
 4.72800000e-04  8.50359543e-02  4.72800000e-04  2.55106842e-01 
 4.82800000e-04  5.39302725e-02  4.82800000e-04  1.61790170e-01 
 4.92800000e-04  2.26117525e-02  4.92800000e-04  6.78349862e-02 
 5.02800000e-04 -8.79600567e-03  5.02800000e-04 -2.63879114e-02 
 5.12800000e-04 -4.01690501e-02  5.12800000e-04 -1.20506668e-01 
 5.22800000e-04 -7.13835656e-02  5.22800000e-04 -2.14149840e-01 
 5.32800000e-04 -1.02316363e-01  5.32800000e-04 -3.06947860e-01 
 5.42800000e-04 -1.32845364e-01  5.42800000e-04 -3.98534497e-01 
 5.52800000e-04 -1.62850085e-01  5.52800000e-04 -4.88548301e-01 
 5.62800000e-04 -1.92212112e-01  5.62800000e-04 -5.76634028e-01 
 5.72800000e-04 -2.20815565e-01  5.72800000e-04 -6.62444043e-01 
 5.82800000e-04 -2.48547560e-01  5.82800000e-04 -7.45639695e-01 
 5.92800000e-04 -2.75298651e-01  5.92800000e-04 -8.25892648e-01 
 6.02800000e-04 -3.00963264e-01  6.02800000e-04 -9.02886179e-01 
 6.12800000e-04 -3.25440113e-01  6.12800000e-04 -9.76316431e-01 
 6.22800000e-04 -3.48632598e-01  6.22800000e-04 -1.04589361e+00 
 6.32800000e-04 -3.70449189e-01  6.32800000e-04 -1.11134312e+00 
 6.42800000e-04 -3.90803787e-01  6.42800000e-04 -1.17240667e+00 
